id;topic;severity;category;audit_type;control_type;info;solution;reference;see_also;cmd;expect;scope
101;Realmd + SSSD;Alta;Identidade e acesso;CMD_EXEC;CMD_EXEC;Identidade centralizada via AD com realmd/SSSD.;"Instalar realmd, sssd e pacotes auxiliares; configurar realm join conforme dominio corporativo.";Baseline Ubuntu 24.04 VDI - Identidade e privilégios.;https://documentation.ubuntu.com/server/how-to/sssd/with-active-directory/;"sh -c 'for p in realmd sssd sssd-tools libnss-sss libpam-sss adcli; do dpkg -s \""$p\"" >/dev/null 2>&1 || exit 1; done' && echo PASS || echo FAIL";(?i)^\\s*PASS\\s*$;Ubuntu 24.04 VDI Desktop desenvolvimento corporativo
102;Restricao login por grupo;Alta;Identidade e acesso;CMD_EXEC;CMD_EXEC;Somente usuarios/grupos aprovados devem autenticar via SSSD.;Configurar /etc/sssd/sssd.conf com access_provider=ad e controlar acesso por realm permit/grupos.;Baseline Ubuntu 24.04 VDI - Identidade e privilégios.;https://documentation.ubuntu.com/server/how-to/sssd/with-active-directory/;"sh -c 'test -f /etc/sssd/sssd.conf && grep -Eiq \""^[[:space:]]*access_provider[[:space:]]*=[[:space:]]*ad\"" /etc/sssd/sssd.conf && (realm list 2>/dev/null | grep -Eiq \""permitted-(groups|logins):[[:space:]]*[^[:space:]]\"" || grep -Eiq \""(ad_access_filter|simple_allow_groups|realm permit)\"" /etc/sssd/sssd.conf /etc/sssd/sssd.conf.template 2>/dev/null) && echo PASS || echo FAIL'";(?i)^\\s*PASS\\s*$;Ubuntu 24.04 VDI Desktop desenvolvimento corporativo
103;Root sem login local;Alta;Identidade e acesso;CMD_EXEC;CMD_EXEC;Conta root nao deve permitir login interativo local.;Bloquear senha do root ou definir shell nologin.;Baseline Ubuntu 24.04 VDI - Identidade e privilégios.;;"sh -c '(passwd -S root 2>/dev/null | grep -Eq \""^[^[:space:]]+[[:space:]]+(L|LK)[[:space:]]\"" || getent passwd root | cut -d: -f7 | grep -Eq \""(/usr)?/sbin/nologin|/bin/false\"") && echo PASS || echo FAIL'";(?i)^\\s*PASS\\s*$;Ubuntu 24.04 VDI Desktop desenvolvimento corporativo
104;Root sem login SSH;Alta;Identidade e acesso;CMD_EXEC;CMD_EXEC;Root nao deve autenticar por SSH.;Configurar PermitRootLogin no em sshd_config ou drop-in.;Baseline Ubuntu 24.04 VDI - Identidade e privilégios.;https://man.openbsd.org/sshd_config;"sh -c 'sshd -T 2>/dev/null | grep -Eiq \""^permitrootlogin[[:space:]]+no$\"" && echo PASS || echo FAIL'";(?i)^\\s*PASS\\s*$;Ubuntu 24.04 VDI Desktop desenvolvimento corporativo
105;Sem usuarios compartilhados;Alta;Identidade e acesso;CMD_EXEC;CMD_EXEC;Usuarios humanos locais devem ter UID unico e conta individual.;Remover contas duplicadas/compartilhadas locais e usar identidade nominal via AD.;Baseline Ubuntu 24.04 VDI - Identidade e privilégios.;;sh -c 'cut -d: -f3 /etc/passwd | sort | uniq -d | grep -q . && echo FAIL || echo PASS';(?i)^\\s*PASS\\s*$;Ubuntu 24.04 VDI Desktop desenvolvimento corporativo
106;UID 0 exclusivo ao root;Alta;Identidade e acesso;CMD_EXEC;CMD_EXEC;Apenas root pode possuir UID 0.;Remover qualquer conta extra com UID 0.;Baseline Ubuntu 24.04 VDI - Identidade e privilégios.;;awk -F: '$3==0{print $1}' /etc/passwd;^root$;Ubuntu 24.04 VDI Desktop desenvolvimento corporativo
107;sudo restrito a grupo;Alta;Identidade e acesso;CMD_EXEC;CMD_EXEC;Sudo deve estar restrito a grupos administrativos aprovados.;Usar grupo vdi-admins e garantir que vdi-devs nao esteja em sudo/admin/docker.;Baseline Ubuntu 24.04 VDI - Identidade e privilégios.;https://man7.org/linux/man-pages/man8/sudo.8.html;"sh -c 'grep -REiq \""^[[:space:]]*%vdi-admins[[:space:]]+ALL=\"" /etc/sudoers /etc/sudoers.d 2>/dev/null || exit 1; for u in $(getent group vdi-devs 2>/dev/null | cut -d: -f4 | tr , \"" \""); do id -nG \""$u\"" 2>/dev/null | grep -Eq \""(^| )(sudo|admin|docker)( |$)\"" && exit 1; done; echo PASS' || echo FAIL";(?i)^\\s*PASS\\s*$;Ubuntu 24.04 VDI Desktop desenvolvimento corporativo
108;sudo sem ALL=(ALL) ALL para devs;Alta;Identidade e acesso;CMD_EXEC;CMD_EXEC;Evita permissao sudo irrestrita para usuarios/desenvolvedores comuns.;Manter regras explicitas somente para vdi-admins e revisar sudoers.;Baseline Ubuntu 24.04 VDI - Identidade e privilégios.;https://man7.org/linux/man-pages/man8/sudo.8.html;"sh -c 'grep -RE \""^[[:space:]]*([^#%]|%vdi-devs).*ALL=\\(ALL(:ALL)?\\)[[:space:]]+ALL\"" /etc/sudoers /etc/sudoers.d 2>/dev/null | grep -Ev \""^[^:]+:[[:space:]]*%vdi-admins[[:space:]]\"" | grep -q . && echo FAIL || echo PASS'";(?i)^\\s*PASS\\s*$;Ubuntu 24.04 VDI Desktop desenvolvimento corporativo
109;su restrito com pam_wheel;Alta;Identidade e acesso;CMD_EXEC;CMD_EXEC;Somente operadores aprovados podem usar su.;Adicionar pam_wheel.so com grupo administrativo aprovado em /etc/pam.d/su.;Baseline Ubuntu 24.04 VDI - Identidade e privilégios.;https://man7.org/linux/man-pages/man8/pam.8.html;grep -E '^[[:space:]]*auth[[:space:]]+required[[:space:]]+pam_wheel\\.so.*group=vdi-admins' /etc/pam.d/su 2>/dev/null;^[[:space:]]*auth[[:space:]]+required[[:space:]]+pam_wheel\\.so.*group=vdi-admins.*$;Ubuntu 24.04 VDI Desktop desenvolvimento corporativo
110;Fora de grupo wheel;Media;Identidade e acesso;CMD_EXEC;CMD_EXEC;Grupo wheel nao deve virar caminho administrativo padrao.;"Nao usar wheel no Ubuntu VDI; manter vdi-admins como grupo aprovado.";Baseline Ubuntu 24.04 VDI - Identidade e privilégios.;;"sh -c 'if getent group wheel >/dev/null; then [ -z \""$(getent group wheel | cut -d: -f4)\"" ] && echo PASS || echo FAIL; else echo PASS; fi'";(?i)^\\s*PASS\\s*$;Ubuntu 24.04 VDI Desktop desenvolvimento corporativo
